score,highscore,block width difference
14,14,"94, 81, 74, 68, 65, 52, 48, 48, 46, 44, 36, 20, 20, 1"
0,6,
2,6,"100, 70"
4,4,"96, 83, 73, 58"
0,0,
0,0,
4,4,"96, 95, 86, 85"
1,1,97
